,country,PC 1,PC 2,PC 3,Class,logPercent_NC_3mnth
0,Afghanistan,-0.5609734034937395,-1.4701307355379705,-0.5509389754816235,0,-4.071751956008324
1,Albania,-2.1604380437796387,-0.7376008796839183,1.6667700093626439,0,-3.6809093578706777
2,Algeria,-2.755309784976315,-1.2343519879527924,1.2080691780668984,0,-3.829066570905444
5,Aruba,2.7842399284444297,3.7717909514252996,2.2876117361546795,1,-2.250281721753848
7,Austria,0.7478701204491637,5.196398043970164,0.5766124905593566,1,-1.8972655868979122
8,Azerbaijan,-1.9766007038822448,-2.0314792174060265,2.2726796031016843,0,-3.574638854790609
9,Bahrain,0.681571372151653,0.09795141722695724,2.204764854592013,2,-2.523282961913877
10,Bangladesh,2.076213498217257,-1.221131752691095,-0.1072736687700613,2,-4.603881745770381
13,Belgium,1.7334648970546325,1.2349374630696803,-1.3371140980548084,2,-3.3397931770751614
17,Bolivia,5.390606715242827,-1.3572376783843236,-0.8209987712611505,2,-4.164093577476406
18,Bosnia and Herzegovina,0.5545325252625078,0.7108214502228357,0.13419542987732533,2,-2.8532239102118315
20,Brazil,1.5570163895545956,-0.9559871180525789,-0.1779692046203921,2,-3.644433295653042
22,Bulgaria,0.011295161284019223,0.4912454211424315,-0.6682377933461997,2,-3.586615119129987
23,Burkina Faso,-1.8936227545922648,-0.28485952145322785,-1.268831404868937,0,-3.8578163985318006
25,Cameroon,-1.6903756929627685,-0.8857885595746424,-0.4007815841695692,0,-3.4462732597933345
26,Canada,0.5360628401141685,0.8698437173697267,-2.171041054046893,2,-5.275796721214964
27,Cape Verde,3.233261331882736,-0.002481419096782865,0.7815450759181474,2,-3.267944163499044
30,Chile,4.794638673388183,0.23304331200240405,2.3307882356036487,2,-2.709692938264097
31,China,-2.6923696909712596,-1.8132364784032544,1.6196271587867883,0,-3.744858734820616
32,Colombia,4.5235092298352875,-1.767853285831526,0.11832175062625612,2,-3.8089446275014422
33,Congo,-2.2824485467823608,-1.492596813265027,0.8293291867616491,0,-4.1397289456197095
34,Costa Rica,2.0655792991323336,-1.016055296817025,-0.17772477419978602,2,-3.428315058759367
35,Cote d'Ivoire,-3.15680925824132,-0.7656960250185324,-0.4382653109070821,0,-3.8649438908040814
36,Croatia,0.3010313698360552,0.6891863133393896,0.3398929065728733,2,-2.726850788809641
37,Cuba,-2.3633681946278737,-0.7723237053708364,1.2056627608133503,0,-3.3639040970859426
38,Cyprus,-2.6357604176626044,2.4905268668047684,2.513617735227893,1,-2.4373040521957305
39,Czech Republic,-3.2059514622421688,1.4148448946636278,1.2389869487923424,0,-2.5440267621097927
40,Democratic Republic of Congo,-2.9598288680290317,-1.2443841437408971,0.2652664079232566,0,-4.4469709148125585
41,Denmark,-1.3479489887920773,3.348919789532716,0.7130038332316825,1,-2.534957069610448
42,Djibouti,-2.8543042277197617,2.1497115362938453,2.013141557262444,0,-1.845538711069986
43,Dominican Republic,3.2380162291671297,0.18329480258472974,-0.7625899021780793,2,-2.7172824982292214
44,Ecuador,5.051380330971196,0.6197675930868796,-0.888608531865234,2,-3.365760318779332
45,Egypt,0.4945191023070458,-0.7343898890728976,-0.9723406135823952,2,-4.779572738935305
46,El Salvador,5.074696773719633,-1.5902481411589666,-0.21204861292531127,2,-3.6980470505312413
48,Estonia,-1.437043701957252,3.1763700435669713,-1.6321887219859497,1,-2.309806666040221
49,Ethiopia,-2.4909119387339937,-2.5719036264190005,1.9022424270091909,0,-5.75953029506483
51,Finland,-1.44057036224652,1.849778111246769,-2.6536430497899577,0,-4.743566046900478
53,Gabon,0.9970554648121336,-0.6159513703743978,-0.15075730057836156,2,-3.870350834606594
55,Georgia,1.146058339401983,0.0042686298208238545,-0.8984468185245641,2,-4.299853093006667
56,Germany,-0.946642727830688,0.34685930654128033,-0.05920220831872061,0,-5.321100814105152
57,Ghana,-0.11402767373956915,-1.080237909015132,-0.9399086731323804,2,-4.015261161607007
58,Greece,0.33685292151021584,0.9002522754814706,-0.9492799689507148,2,-3.148763351377647
59,Guam,-2.337659843794228,2.0814235854918546,5.859051893474464,1,-3.2273287018986885
60,Guatemala,3.3112070622464262,-1.5001271598670731,-0.07777547162872474,2,-4.211837872310388
62,Guyana,-2.0373340601365166,-1.6054073674699034,1.6330113603766767,0,-3.1967613003898476
64,Honduras,4.442665359032064,-1.4483202768808487,0.007075231810662276,2,-3.9958372919083094
65,Hungary,-0.3883612098058247,0.8828305049912346,-0.13489408896995345,0,-3.2446301719435118
66,Iceland,-2.8881394855682183,7.175629590455806,2.824023865048797,1,-1.777197804376321
68,Indonesia,-0.4186986018034747,-2.332648048976252,1.1240239639351035,0,-4.3800899858302085
69,Iran,-2.659835247263519,1.448631031984287,1.9181699105850465,0,-2.8318731506994625
70,Iraq,0.8571907580320062,-2.288934677747002,1.1717899784919672,2,-4.127347838027011
71,Ireland,2.147419239755259,3.7693704517851017,1.1238872690098325,1,-2.2237111275552937
72,Israel,1.5510391720810404,-0.4126256848801435,0.859232689950159,2,-2.663136368640613
73,Italy,2.460760542942245,0.8905360290894683,-1.0374613151385352,2,-3.4012700317671687
74,Jamaica,2.1722625063481837,-1.1636339554520383,-0.5056211823444565,2,-4.170432025204115
75,Japan,-2.165204276863678,0.705637656666418,-1.4289971288779708,0,-6.102009694585487
76,Jordan,1.9754851205954107,-0.4012821695584155,-2.092482871386844,2,-4.406673854435501
77,Kazakhstan,1.7014005825499774,-1.4400316250088183,1.7800218615778138,2,-2.9351629357989917
78,Kenya,0.6225040739844027,-1.9714771327939884,0.4421392420818809,2,-4.952399285926126
79,Kuwait,3.1077361401555867,-0.7212438897173726,-0.5354407550045651,2,-4.329455137364682
80,Kyrgyzstan,3.3638268867991536,0.0123775904388802,2.436846898831205,2,-3.584077745433836
82,Latvia,-1.006126269508028,2.2852624114676234,-0.7225527338762131,0,-2.5943469636384764
83,Lebanon,1.1284688475216842,-1.1175435796395126,-0.576588045792359,2,-3.5788582754366645
86,Libya,0.2496582514698677,-1.88952196174788,0.4106793098280903,2,-4.837038088537013
87,Lithuania,-1.1900465191954186,2.57500227349031,-1.6021892985353383,0,-2.8786320466023425
88,Luxembourg,2.374240874524141,8.688564903031015,1.6956575795514983,1,-2.21677408600676
89,Madagascar,-2.8127297008544128,-1.5328920405538755,0.2055862768842247,0,-4.840278946285952
90,Malawi,-2.955761760496426,-1.0048106189590111,1.0263371945148891,0,-5.2817139484238105
92,Mali,-1.7079931503827157,-0.3607517281652314,-0.9668753418774616,0,-4.102322931025105
94,Mauritius,3.0797470403589933,2.093954031777795,-2.8321901138956114,2,-4.104407551655739
95,Mexico,1.9102470193127459,-1.368342881265621,-1.774242197688004,2,-3.9489952536776434
96,Moldova,1.7076841222208765,0.3408806436409261,0.5791164056273403,2,-2.601410536710484
97,Mongolia,-3.2797652403021043,-0.11420585259774405,-0.022487772613279132,0,-4.5156476339022165
98,Morocco,4.4959534415005,-1.0997375719448863,-0.7863924058653267,2,-3.9989488866797083
100,Myanmar,-2.729552410906844,-1.803339021206184,0.8906061188254553,0,-4.957525831250387
103,Netherlands,-0.0324860856823525,7.330922063941164,1.917733517900588,1,-2.169797453916757
104,New Zealand,0.8974543238849523,1.3688652980576057,-1.8896065302618348,2,-2.905096940346631
106,Niger,-2.763821234294363,0.7894026008924213,-2.58711613772278,0,-4.429691930223481
107,Nigeria,-0.2902905680004444,-1.9260689776920739,-0.14914127900643714,0,-5.110041418947333
108,Norway,-1.4414188142310582,4.0659880656464775,-0.9004585417491823,1,-2.105709864228772
109,Oman,1.1336765129564397,-2.4110212080479907,3.237675331076073,2,-3.532042452845322
112,Panama,5.450575738502073,1.7084110393391876,1.132383863307017,2,-2.1893532459019585
115,Peru,6.278380314017986,-0.3684780881440594,1.3810945460303212,2,-2.7897894807170265
117,Poland,0.1278518896728931,0.6594361239369909,-1.1495172961988342,2,-2.98474086051721
118,Portugal,2.5449366658603134,4.648257576692774,1.3372023265006734,1,-2.1010485793566733
119,Puerto Rico,3.5395960708049925,1.9111724209122212,1.4210730349279062,2,-2.650313595439623
120,Qatar,2.2910390017019524,-0.4483067322456439,1.3678298249862504,2,-2.688700291205287
121,Romania,1.2492160664204204,0.20745455588648498,-0.38118637701768665,2,-2.864196993055265
123,Rwanda,2.07903434792888,-1.5535509721989331,-0.9197547449500671,2,-5.112343843683426
124,Saudi Arabia,2.1049439027324865,-0.8344323472755267,0.1431015666470683,2,-3.345852613434269
125,Senegal,0.4575648046769235,-0.9173605962945496,-1.2287857301611238,2,-4.047766140658771
126,Serbia,1.2421036173140996,2.061909777812065,0.7855681302294134,1,-2.3794840054836293
128,Sierra Leone,-3.445957688259216,-0.3631869912095688,-0.3798031332070802,0,-3.998748788408496
129,Singapore,0.15497306817374634,0.1022478915460851,1.7188581450194158,2,-4.290060074377975
130,Slovakia,0.3768062556631109,0.95291253553406,-1.324673916037841,2,-3.591036209920459
131,Slovenia,0.9515454043080122,3.4411601704022763,-0.945606952897294,1,-2.7496385601140427
132,Somalia,-4.138373587690527,0.02170326683620416,-1.5813948584125992,0,-3.9001818721131527
133,South Africa,2.6529122906591613,-1.7685586097547452,0.4665355134677234,2,-3.8700283445265637
134,South Korea,-2.299574059925127,0.7256763087323828,-0.8747843085290524,0,-4.5337651377407004
135,Spain,2.9968355747910334,-0.29551719889942923,0.18579767032953332,2,-3.9374322858508792
139,Swaziland,-2.3389894441886248,-1.978617744564348,0.9725516728274698,0,-4.064519385141303
140,Sweden,-2.332467979412044,1.3323256205115996,-1.7490949987000364,0,-4.527168728327381
141,Switzerland,0.21737291085460586,7.703204815877193,2.8201369577860183,1,-1.9372479036206196
142,Tajikistan,-1.0175971024810435,1.2763095609851869,-0.7993364935169378,0,-2.5920511906118713
143,Tanzania,-2.9167373725120638,0.33679174143583623,-2.460463219943612,0,-4.232155101873907
144,Thailand,0.4666922764521592,0.3992769470760812,-2.441029289515242,2,-5.843855285739492
145,Timor,-3.694210740962904,0.6803680878152949,-1.1138236234746524,0,-3.6429397746437746
146,Togo,-0.6031440674767209,-0.8024786844019461,-0.9771104834908272,0,-4.440842831368476
147,Trinidad and Tobago,2.5662133429374068,-0.5927223858897931,-0.21143172535908944,2,-3.6688488551829797
148,Tunisia,-2.837283329331948,-0.3736902273151884,-0.034447724134380124,0,-3.567416717340029
149,Turkey,0.8835475780514649,3.0561750048240364,0.4470100860043088,1,-2.2496095606091346
150,Uganda,2.1630689945297887,-1.864847158832223,-0.7178298970779434,2,-5.660305655017877
151,Ukraine,0.09438663561132804,-0.6426041344752669,-0.2877100909900454,2,-3.6279795826830568
153,United Kingdom,0.7721145348208084,0.0960516992887786,0.5642386732030171,2,-5.132810241047378
155,Uruguay,0.20886216282798986,1.4580530477251228,-2.3298387906614613,2,-3.6956976442602243
156,Uzbekistan,-2.235180562759687,-1.7357602253321986,1.18736922267797,0,-3.3019288476027047
157,Venezuela,2.657355578177916,-1.6739280785973945,0.2871951951458044,2,-4.550777648019515
160,Zambia,-2.0856673920400133,-0.8642298548803137,-0.8695887096876427,0,-4.662378980580865
