,country,PC 1,PC 2,PC 3,Class,logPercent_maxND
0,Afghanistan,-0.5609734034937395,-1.4701307355379705,-0.5509389754816235,0,-3.842077868880011
1,Albania,-2.1604380437796387,-0.7376008796839183,1.6667700093626439,0,-3.6809093578706777
2,Algeria,-2.755309784976315,-1.2343519879527924,1.2080691780668984,0,-4.018730637150399
3,Angola,1.2708497603142366,-1.549488608072369,-0.8902293921814698,2,-4.7385991418931726
4,Argentina,3.628440926180756,-1.644506174523379,0.5469559700137794,2,-3.1458953347971335
5,Aruba,2.7842399284444297,3.7717909514252996,2.2876117361546795,1,-3.028432972137492
6,Australia,-0.5870548745725356,-1.858924218797516,1.9246347159400503,0,-4.008598145049606
7,Austria,0.7478701204491637,5.196398043970164,0.5766124905593566,1,-3.4631895374818544
8,Azerbaijan,-1.9766007038822448,-2.0314792174060265,2.2726796031016843,0,-3.8920592666427596
9,Bahrain,0.681571372151653,0.09795141722695724,2.204764854592013,2,-3.385755097997557
10,Bangladesh,2.076213498217257,-1.221131752691095,-0.1072736687700613,2,-4.41048562850623
11,Barbados,2.985760806889591,1.3321767902360373,-0.7259089774944522,2,-3.4584429392490006
12,Belarus,-3.683599926479808,1.8948957192728733,-3.968724755620774,0,-3.934007917367147
13,Belgium,1.7334648970546325,1.2349374630696803,-1.3371140980548084,2,-2.5575640142710787
14,Belize,2.445660889828365,-0.9167178734703622,-0.16600893953159535,2,-2.9974093218804083
15,Benin,-2.1959143553996987,-0.7596766854802521,-0.7231032287793601,0,-4.606495943538845
17,Bolivia,5.390606715242827,-1.3572376783843236,-0.8209987712611505,2,-2.9916366030758184
18,Bosnia and Herzegovina,0.5545325252625078,0.7108214502228357,0.13419542987732533,2,-3.0246200480591328
19,Botswana,1.2435675002813416,-0.5243907843447864,-1.276573858740372,2,-3.8942468137834063
20,Brazil,1.5570163895545956,-0.9559871180525789,-0.1779692046203921,2,-3.1247196464986917
21,Brunei,-3.7974700497328566,0.9316513206016092,-0.94132742107647,0,-3.6409611815877323
22,Bulgaria,0.011295161284019223,0.4912454211424315,-0.6682377933461997,2,-3.4801597882157003
23,Burkina Faso,-1.8936227545922648,-0.28485952145322785,-1.268831404868937,0,-4.542063146047113
24,Burundi,-4.522697006468065,0.3907368195396795,-2.1938006325585224,0,-5.075210380510292
25,Cameroon,-1.6903756929627685,-0.8857885595746424,-0.4007815841695692,0,-3.6531448534400384
26,Canada,0.5360628401141685,0.8698437173697267,-2.171041054046893,2,-3.2304737424283063
27,Cape Verde,3.233261331882736,-0.002481419096782865,0.7815450759181474,2,-3.267944163499044
28,Central African Republic,-3.2019378299076786,-1.0098448453851971,-0.3697011553146933,0,-3.8388278700329503
29,Chad,-3.1109925031403822,-0.7867825154051342,-0.10128742097976216,0,-4.215528090512191
30,Chile,4.794638673388183,0.23304331200240405,2.3307882356036487,2,-2.2573267827653587
31,China,-2.6923696909712596,-1.8132364784032544,1.6196271587867883,0,-4.047568788602619
32,Colombia,4.5235092298352875,-1.767853285831526,0.11832175062625612,2,-3.1045117274639216
33,Congo,-2.2824485467823608,-1.492596813265027,0.8293291867616491,0,-3.537668954291747
34,Costa Rica,2.0655792991323336,-1.016055296817025,-0.17772477419978602,2,-3.45179615460889
35,Cote d'Ivoire,-3.15680925824132,-0.7656960250185324,-0.4382653109070821,0,-4.819186400243407
36,Croatia,0.3010313698360552,0.6891863133393896,0.3398929065728733,2,-3.710251526990179
37,Cuba,-2.3633681946278737,-0.7723237053708364,1.2056627608133503,0,-4.275948926730813
38,Cyprus,-2.6357604176626044,2.4905268668047684,2.513617735227893,1,-3.4653327757959738
39,Czech Republic,-3.2059514622421688,1.4148448946636278,1.2389869487923424,0,-3.774475683488067
40,Democratic Republic of Congo,-2.9598288680290317,-1.2443841437408971,0.2652664079232566,0,-4.952120893132464
41,Denmark,-1.3479489887920773,3.348919789532716,0.7130038332316825,1,-3.4204210934019152
42,Djibouti,-2.8543042277197617,2.1497115362938453,2.013141557262444,0,-3.3926978323974035
43,Dominican Republic,3.2380162291671297,0.18329480258472974,-0.7625899021780793,2,-3.455562236575173
44,Ecuador,5.051380330971196,0.6197675930868796,-0.888608531865234,2,-2.633790054340388
45,Egypt,0.4945191023070458,-0.7343898890728976,-0.9723406135823952,2,-4.023249926047334
46,El Salvador,5.074696773719633,-1.5902481411589666,-0.21204861292531127,2,-3.3806266386790904
48,Estonia,-1.437043701957252,3.1763700435669713,-1.6321887219859497,1,-3.3445687722994326
49,Ethiopia,-2.4909119387339937,-2.5719036264190005,1.9022424270091909,0,-4.344556947094012
50,Fiji,-0.16994881510127202,-0.2842406049134665,0.2599887499634827,0,-3.9525231647843033
51,Finland,-1.44057036224652,1.849778111246769,-2.6536430497899577,0,-3.1100975913208906
52,France,2.394852860418126,1.2914611870903316,-2.3150803673340135,2,-2.5128392630691363
53,Gabon,0.9970554648121336,-0.6159513703743978,-0.15075730057836156,2,-3.6485020849902376
54,Gambia,-2.8910479976265955,-2.175037472496436,3.10054051833008,0,-3.2370882369513314
55,Georgia,1.146058339401983,0.0042686298208238545,-0.8984468185245641,2,-4.299853093006667
56,Germany,-0.946642727830688,0.34685930654128033,-0.05920220831872061,0,-3.4248502516435133
57,Ghana,-0.11402767373956915,-1.080237909015132,-0.9399086731323804,2,-4.316291157270988
58,Greece,0.33685292151021584,0.9002522754814706,-0.9492799689507148,2,-4.063752561669299
59,Guam,-2.337659843794228,2.0814235854918546,5.859051893474464,1,-2.9262987062347077
60,Guatemala,3.3112070622464262,-1.5001271598670731,-0.07777547162872474,2,-3.383998837737637
61,Guinea,-3.2266936914323123,-1.2050916280231971,-0.17316016564993164,0,-4.641235811148317
62,Guyana,-2.0373340601365166,-1.6054073674699034,1.6330113603766767,0,-3.418610050006204
63,Haiti,0.019507504733293688,-0.5697763180507498,-0.9816048397728908,2,-3.977820091756135
64,Honduras,4.442665359032064,-1.4483202768808487,0.007075231810662276,2,-3.1896573179244223
65,Hungary,-0.3883612098058247,0.8828305049912346,-0.13489408896995345,0,-3.587052852765718
66,Iceland,-2.8881394855682183,7.175629590455806,2.824023865048797,1,-3.2320426643848315
67,India,1.3252596602734308,-2.8879106360104965,1.4256854812828341,2,-3.8381995170919194
68,Indonesia,-0.4186986018034747,-2.332648048976252,1.1240239639351035,0,-4.293980036912586
69,Iran,-2.659835247263519,1.448631031984287,1.9181699105850465,0,-3.424555767710179
70,Iraq,0.8571907580320062,-2.288934677747002,1.1717899784919672,2,-3.518109262071925
71,Ireland,2.147419239755259,3.7693704517851017,1.1238872690098325,1,-2.3243172861233137
72,Israel,1.5510391720810404,-0.4126256848801435,0.859232689950159,2,-3.0860358691852174
73,Italy,2.460760542942245,0.8905360290894683,-1.0374613151385352,2,-2.7942620435707695
74,Jamaica,2.1722625063481837,-1.1636339554520383,-0.5056211823444565,2,-3.9943407661484343
75,Japan,-2.165204276863678,0.705637656666418,-1.4289971288779708,0,-4.097688320802844
76,Jordan,1.9754851205954107,-0.4012821695584155,-2.092482871386844,2,-4.406673854435501
77,Kazakhstan,1.7014005825499774,-1.4400316250088183,1.7800218615778138,2,-2.7630744191969843
78,Kenya,0.6225040739844027,-1.9714771327939884,0.4421392420818809,2,-4.368822700292177
79,Kuwait,3.1077361401555867,-0.7212438897173726,-0.5354407550045651,2,-3.5890924478704376
80,Kyrgyzstan,3.3638268867991536,0.0123775904388802,2.436846898831205,2,-1.9523952874990729
82,Latvia,-1.006126269508028,2.2852624114676234,-0.7225527338762131,0,-3.6735282096861015
83,Lebanon,1.1284688475216842,-1.1175435796395126,-0.576588045792359,2,-3.754949534492346
84,Lesotho,-3.0667359744660248,-0.7928421448610208,0.1955749242056672,0,-3.631900552623015
85,Liberia,-2.8211098117104667,-1.7972167464501914,0.4496808672068594,0,-3.527859831354674
86,Libya,0.2496582514698677,-1.88952196174788,0.4106793098280903,2,-3.7230947362301765
87,Lithuania,-1.1900465191954186,2.57500227349031,-1.6021892985353383,0,-3.656783296985986
88,Luxembourg,2.374240874524141,8.688564903031015,1.6956575795514983,1,-2.8934676956316268
89,Madagascar,-2.8127297008544128,-1.5328920405538755,0.2055862768842247,0,-4.442338937613915
90,Malawi,-2.955761760496426,-1.0048106189590111,1.0263371945148891,0,-4.202532702376186
91,Malaysia,1.070816258273575,-0.5659601300703887,-0.24312579889447014,2,-4.664990962942058
92,Mali,-1.7079931503827157,-0.3607517281652314,-0.9668753418774616,0,-4.461344873666773
93,Mauritania,-3.006715396998468,-0.8901717122902257,0.3435258883237131,0,-3.412148691760317
94,Mauritius,3.0797470403589933,2.093954031777795,-2.8321901138956114,2,-3.8033775559917578
95,Mexico,1.9102470193127459,-1.368342881265621,-1.774242197688004,2,-3.0725385053242764
96,Moldova,1.7076841222208765,0.3408806436409261,0.5791164056273403,2,-3.4296406514374453
98,Morocco,4.4959534415005,-1.0997375719448863,-0.7863924058653267,2,-3.77475892124845
99,Mozambique,-1.1330775113030265,-2.0272287975623358,-0.013571004130067944,0,-5.193895551944861
100,Myanmar,-2.729552410906844,-1.803339021206184,0.8906061188254553,0,-5.43464708597005
101,Namibia,0.9353267188312496,-0.9908819905897328,-0.7804438817883176,2,-3.6268390575870404
102,Nepal,1.5952054581325004,-2.365565642417963,1.0223651404775569,2,-4.3183139364668595
103,Netherlands,-0.0324860856823525,7.330922063941164,1.917733517900588,1,-2.86466503247021
104,New Zealand,0.8974543238849523,1.3688652980576057,-1.8896065302618348,2,-4.0811881994023125
105,Nicaragua,-2.000088312884874,1.6870921075067202,-4.768840493327884,0,-3.5658841394890746
106,Niger,-2.763821234294363,0.7894026008924213,-2.58711613772278,0,-4.684964435326788
107,Nigeria,-0.2902905680004444,-1.9260689776920739,-0.14914127900643714,0,-4.822799707768985
108,Norway,-1.4414188142310582,4.0659880656464775,-0.9004585417491823,1,-3.620155441972247
109,Oman,1.1336765129564397,-2.4110212080479907,3.237675331076073,2,-2.8820589092001767
110,Pakistan,0.42209598097395945,-1.2750513155393828,0.10885554298797898,2,-4.15948920736168
111,Palestine,-2.057994817692093,-2.3511010989170518,1.6590834037257487,0,-3.8625926999329185
112,Panama,5.450575738502073,1.7084110393391876,1.132383863307017,2,-3.0221735924558204
113,Papua New Guinea,-2.3449905240117013,-1.047419845132415,-0.2896757976632923,0,-4.951678747942755
114,Paraguay,2.7490055846024344,-1.9492577161977176,0.16711949778085927,2,-3.5744900060579616
115,Peru,6.278380314017986,-0.3684780881440594,1.3810945460303212,2,-1.9231985260431714
116,Philippines,2.110485336753791,-2.3770140330533387,0.480100150627256,2,-3.830220581676338
117,Poland,0.1278518896728931,0.6594361239369909,-1.1495172961988342,2,-3.975966936209705
118,Portugal,2.5449366658603134,4.648257576692774,1.3372023265006734,1,-3.230308689747616
119,Puerto Rico,3.5395960708049925,1.9111724209122212,1.4210730349279062,2,-3.2012210643202046
120,Qatar,2.2910390017019524,-0.4483067322456439,1.3678298249862504,2,-3.614454262833174
121,Romania,1.2492160664204204,0.20745455588648498,-0.38118637701768665,2,-3.520724747982085
122,Russia,0.041928411322394665,-0.6399590189637554,-0.5187624635113055,2,-3.6700032614167917
123,Rwanda,2.07903434792888,-1.5535509721989331,-0.9197547449500671,2,-4.811313848019445
124,Saudi Arabia,2.1049439027324865,-0.8344323472755267,0.1431015666470683,2,-3.7783242722805657
125,Senegal,0.4575648046769235,-0.9173605962945496,-1.2287857301611238,2,-4.269614890275127
126,Serbia,1.2421036173140996,2.061909777812065,0.7855681302294134,1,-3.577529840427361
128,Sierra Leone,-3.445957688259216,-0.3631869912095688,-0.3798031332070802,0,-4.202868771064421
129,Singapore,0.15497306817374634,0.1022478915460851,1.7188581450194158,2,-4.4661513334336576
130,Slovakia,0.3768062556631109,0.95291253553406,-1.324673916037841,2,-4.135104254270735
131,Slovenia,0.9515454043080122,3.4411601704022763,-0.945606952897294,1,-3.539689033797394
132,Somalia,-4.138373587690527,0.02170326683620416,-1.5813948584125992,0,-4.4230606173934905
133,South Africa,2.6529122906591613,-1.7685586097547452,0.4665355134677234,2,-3.015722302725483
134,South Korea,-2.299574059925127,0.7256763087323828,-0.8747843085290524,0,-4.755613887357057
135,Spain,2.9968355747910334,-0.29551719889942923,0.18579767032953332,2,-2.5983122405787586
136,Sri Lanka,1.7790337526808326,-0.3518983511437753,-1.387836569986008,2,-5.330682587422822
137,Sudan,-2.751920272217993,-1.7176542534284098,1.033427447567946,0,-4.062178761132855
138,Suriname,-2.0370885218773043,-1.7288507701082247,2.3598082857892884,0,-2.8141247206755016
139,Swaziland,-2.3389894441886248,-1.978617744564348,0.9725516728274698,0,-3.365549380805284
140,Sweden,-2.332467979412044,1.3323256205115996,-1.7490949987000364,0,-2.9435921426934324
141,Switzerland,0.21737291085460586,7.703204815877193,2.8201369577860183,1,-3.045153300930139
142,Tajikistan,-1.0175971024810435,1.2763095609851869,-0.7993364935169378,0,-4.076351029958658
143,Tanzania,-2.9167373725120638,0.33679174143583623,-2.460463219943612,0,-4.998071895840539
144,Thailand,0.4666922764521592,0.3992769470760812,-2.441029289515242,2,-5.24179529441153
146,Togo,-0.6031440674767209,-0.8024786844019461,-0.9771104834908272,0,-4.616934090424157
147,Trinidad and Tobago,2.5662133429374068,-0.5927223858897931,-0.21143172535908944,2,-3.5439101185746793
148,Tunisia,-2.837283329331948,-0.3736902273151884,-0.034447724134380124,0,-4.373596691323916
149,Turkey,0.8835475780514649,3.0561750048240364,0.4470100860043088,1,-3.822225071371538
150,Uganda,2.1630689945297887,-1.864847158832223,-0.7178298970779434,2,-5.058245663689915
151,Ukraine,0.09438663561132804,-0.6426041344752669,-0.2877100909900454,2,-3.7113978816739364
152,United Arab Emirates,1.2276322149640977,-0.08431037916195741,-1.9655793898327796,2,-3.8812705039293576
153,United Kingdom,0.7721145348208084,0.0960516992887786,0.5642386732030171,2,-2.743998827573854
154,United States,-0.2451725402892551,0.10699567343273957,-1.0742215666112247,0,-2.82716076764925
155,Uruguay,0.20886216282798986,1.4580530477251228,-2.3298387906614613,2,-4.2397656886105
156,Uzbekistan,-2.235180562759687,-1.7357602253321986,1.18736922267797,0,-4.445464072702663
157,Venezuela,2.657355578177916,-1.6739280785973945,0.2871951951458044,2,-4.223418713633184
158,Vietnam,0.10919483203744793,-2.1577414138918978,0.3525145185053542,2,-5.386225028412275
159,Yemen,-3.2009447687126253,-0.19286016172203296,-1.4395790658501009,0,-3.7585912039376366
160,Zambia,-2.0856673920400133,-0.8642298548803137,-0.8695887096876427,0,-3.6623789805808653
161,Zimbabwe,2.2098990153094267,-1.6604284337044946,-0.9978645638039124,2,-3.916831839635632
