date_updated,new_cases,new_deaths,new_tests,total_cases_updated,total_deaths_updated,total_tests_updated,StringencyIndex_updated,StringencyLegacyIndex_updated,GovernmentResponseIndex_updated,ContainmentHealthIndex_updated,EconomicSupportIndex_updated
2020-01-01,0.0,0.0,4.0,27.0,0.0,4.0,0.0,0.0,0.2942622950819672,0.19885245901639342,0.819672131147541
2020-01-02,0.0,0.0,16.0,27.0,0.0,20.0,0.2277049180327869,0.29278688524590163,0.49393442622950817,0.4347540983606557,0.819672131147541
2020-01-03,17.0,0.0,18.0,44.0,0.0,38.0,0.3188524590163934,0.4488524590163934,0.5570491803278689,0.509344262295082,0.819672131147541
2020-01-04,0.0,0.0,6.0,44.0,0.0,44.0,0.3188524590163934,0.4488524590163934,0.5570491803278689,0.509344262295082,0.819672131147541
2020-01-05,15.0,0.0,14.0,59.0,0.0,58.0,0.36442622950819675,0.5268852459016393,0.6516393442622951,0.620983606557377,0.819672131147541
2020-01-06,0.0,0.0,28.0,59.0,0.0,86.0,0.36442622950819675,0.5268852459016393,0.6516393442622951,0.620983606557377,0.819672131147541
2020-01-07,0.0,0.0,28.0,59.0,0.0,114.0,0.41,0.5854098360655736,0.6831147540983606,0.6581967213114756,0.819672131147541
2020-01-08,0.0,0.0,15.0,59.0,0.0,129.0,0.41,0.5854098360655736,0.6831147540983606,0.6581967213114756,0.819672131147541
2020-01-09,0.0,0.0,44.0,59.0,0.0,173.0,0.41,0.5854098360655736,0.6831147540983606,0.6581967213114756,0.819672131147541
2020-01-10,0.0,0.0,39.0,59.0,0.0,212.0,0.41,0.5854098360655736,0.6831147540983606,0.6581967213114756,0.819672131147541
2020-01-11,0.0,1.0,5.0,59.0,1.0,217.0,0.41,0.5854098360655736,0.6831147540983606,0.6581967213114756,0.819672131147541
2020-01-12,0.0,0.0,20.0,59.0,1.0,237.0,0.41,0.5854098360655736,0.6831147540983606,0.6581967213114756,0.819672131147541
2020-01-13,1.0,0.0,37.0,60.0,1.0,274.0,0.41,0.5854098360655736,0.7250819672131148,0.7078688524590165,0.819672131147541
2020-01-14,0.0,0.0,51.0,60.0,1.0,325.0,0.41,0.5854098360655736,0.7250819672131148,0.7078688524590165,0.819672131147541
2020-01-15,1.0,1.0,59.0,61.0,2.0,384.0,0.5009836065573771,0.6634426229508197,0.8932786885245904,0.9067213114754099,0.819672131147541
2020-01-16,0.0,0.0,42.0,61.0,2.0,426.0,0.7742622950819673,1.0537704918032786,1.1245901639344262,1.18,0.819672131147541
2020-01-17,5.0,0.0,42.0,66.0,2.0,468.0,0.7742622950819673,1.0537704918032786,1.1245901639344262,1.18,0.819672131147541
2020-01-18,17.0,0.0,16.0,83.0,2.0,484.0,0.819672131147541,1.1124590163934427,1.156065573770492,1.2172131147540983,0.819672131147541
2020-01-19,136.0,1.0,21.0,219.0,3.0,505.0,0.819672131147541,1.1124590163934427,1.156065573770492,1.2172131147540983,0.819672131147541
2020-01-20,20.0,0.0,65.0,239.0,3.0,570.0,1.0019672131147541,1.424590163934426,1.450327868852459,1.5650819672131147,0.819672131147541
2020-01-21,152.0,3.0,52.0,391.0,6.0,633.0,1.0019672131147541,1.424590163934426,1.5554098360655737,1.6893442622950818,0.819672131147541
2020-01-22,142.0,11.0,61.0,533.0,17.0,694.0,1.7534426229508198,2.216885245901639,2.201639344262295,2.453114754098361,0.819672131147541
2020-01-23,97.0,0.0,46.0,630.0,17.0,740.0,2.5124590163934424,3.133934426229508,2.8529508196721305,3.2231147540983613,0.819672131147541
2020-01-24,266.0,9.0,49.0,896.0,26.0,798.0,3.0590163934426227,3.8950819672131143,3.6727868852459005,4.191967213114756,0.819672131147541
2020-01-25,451.0,15.0,19.0,1347.0,41.0,817.0,3.468852459016394,4.480655737704918,4.208688524590164,4.8254098360655755,0.819672131147541
2020-01-26,673.0,15.0,34.0,2020.0,56.0,981.0,4.1367213114754104,5.359016393442624,4.733934426229509,5.446229508196722,0.819672131147541
2020-01-27,795.0,25.0,67.0,2815.0,81.0,1068.0,4.546721311475411,5.925081967213115,5.14377049180328,5.930491803278688,0.819672131147541
2020-01-28,1765.0,25.0,204.0,4580.0,106.0,1275.0,5.002131147540983,6.569180327868854,5.459016393442623,6.3031147540983605,0.819672131147541
2020-01-29,1479.0,26.0,142.0,6059.0,132.0,1420.0,5.791639344262294,7.564426229508198,6.110655737704919,7.073278688524589,0.819672131147541
2020-01-30,1756.0,38.0,158.0,7815.0,170.0,1638.0,6.5045161290322575,8.517580645161292,6.570483870967742,7.619193548387097,0.8064516129032258
2020-01-31,2000.0,43.0,67.0,9815.0,213.0,5315.0,8.37015873015873,10.782698412698416,8.663809523809524,10.094920634920634,0.7936507936507936
2020-02-01,2121.0,46.0,211.0,11936.0,259.0,2043.0,8.325645161290321,10.572419354838713,8.824838709677422,10.209032258064513,1.2096774193548387
2020-02-02,2608.0,46.0,87.0,14544.0,305.0,2137.0,8.773709677419355,11.18693548387097,9.176290322580648,10.624354838709678,1.2096774193548387
2020-02-03,2818.0,57.0,41.0,17362.0,362.0,2178.0,9.236612903225808,11.762741935483872,9.66225806451613,11.198709677419352,1.2096774193548387
2020-02-04,3243.0,65.0,88.0,20605.0,427.0,2453.0,9.729677419354841,12.434677419354838,10.003387096774194,11.60209677419355,1.2096774193548387
2020-02-05,3897.0,66.0,181.0,24502.0,493.0,2634.0,9.819193548387098,12.549838709677418,10.189354838709681,11.821935483870966,1.2096774193548387
2020-02-06,3741.0,72.0,230.0,28243.0,565.0,2871.0,10.013225806451615,12.78048387096774,10.489354838709682,12.176129032258062,1.2096774193548387
2020-02-07,3172.0,73.0,295.0,31415.0,638.0,3219.0,9.9175,12.734375,10.531875000000003,12.233593749999999,1.171875
2020-02-08,3438.0,86.0,1160.0,34853.0,724.0,4379.0,10.091249999999999,12.9390625,10.652187500000002,12.375625,1.171875
2020-02-09,2617.0,89.0,2024.0,37470.0,813.0,6445.0,10.177968749999998,13.0134375,10.752343750000001,12.4940625,1.171875
2020-02-10,2986.0,97.0,993.0,40456.0,910.0,7438.0,10.149062499999998,12.95765625,10.732343750000002,12.4703125,1.171875
2020-02-11,2497.0,108.0,978.0,42953.0,1018.0,8435.0,10.163846153846153,12.978153846153846,10.744769230769233,12.488307692307693,1.1538461538461537
2020-02-12,2033.0,97.0,1543.0,44986.0,1115.0,9980.0,10.505692307692307,13.381230769230768,10.981538461538463,12.768,1.1538461538461537
2020-02-13,15151.0,255.0,807.0,60137.0,1370.0,10795.0,10.633846153846154,13.527692307692307,11.070153846153847,12.87292307692308,1.1538461538461537
2020-02-14,4168.0,13.0,1439.0,64305.0,1383.0,12887.0,10.633846153846154,13.527692307692307,11.228000000000002,13.05938461538462,1.1538461538461537
2020-02-15,2560.0,144.0,682.0,66865.0,1527.0,13571.0,10.662307692307694,13.582615384615385,11.307076923076924,13.152615384615387,1.1538461538461537
2020-02-16,2028.0,142.0,2552.0,68893.0,1669.0,16136.0,10.662307692307694,13.582615384615385,11.346461538461538,13.199230769230772,1.1538461538461537
2020-02-17,2065.0,105.0,425.0,70958.0,1774.0,16561.0,10.662307692307694,13.582615384615385,11.42553846153846,13.292615384615386,1.1538461538461537
2020-02-18,1894.0,98.0,2872.0,72852.0,1872.0,19434.0,10.747692307692308,13.656,11.484769230769231,13.36246153846154,1.1538461538461537
2020-02-19,1776.0,139.0,1403.0,74628.0,2011.0,20864.0,10.833076923076923,13.802461538461538,11.543846153846154,13.432307692307692,1.1538461538461537
2020-02-20,451.0,114.0,1828.0,75079.0,2125.0,22777.0,11.08953846153846,14.187076923076924,11.721384615384617,13.642153846153844,1.1538461538461537
2020-02-21,983.0,119.0,5017.0,76062.0,2244.0,27794.0,11.559692307692307,14.681538461538462,12.105846153846153,14.096615384615385,1.1538461538461537
2020-02-22,1083.0,112.0,8929.0,77145.0,2356.0,41991.0,11.830307692307695,14.993076923076924,12.29323076923077,14.318,1.1538461538461537
2020-02-23,1009.0,104.0,3086.0,78154.0,2460.0,45141.0,12.79169230769231,15.882923076923076,13.116615384615383,15.29123076923077,1.1538461538461537
2020-02-24,464.0,155.0,6192.0,78618.0,2615.0,51345.0,13.261846153846157,16.542307692307688,13.560461538461539,15.815846153846154,1.1538461538461537
2020-02-25,791.0,79.0,8522.0,79409.0,2694.0,60085.0,14.487076923076927,17.95276923076923,14.783076923076921,17.26107692307692,1.1538461538461537
2020-02-26,866.0,63.0,10214.0,80275.0,2757.0,70333.0,14.87106060606061,18.564545454545453,15.462424242424241,18.06696969696969,1.1363636363636365
2020-02-27,1097.0,38.0,14717.0,81372.0,2795.0,85050.0,15.54439393939394,19.430454545454545,16.220151515151514,18.962575757575753,1.1363636363636365
2020-02-28,1263.0,57.0,23285.0,82635.0,2852.0,108467.0,15.685223880597016,19.566865671641793,16.810597014925374,19.663134328358208,1.1194029850746268
2020-02-29,1846.0,62.0,16547.0,84481.0,2914.0,163271.0,16.94130434782609,21.06985507246377,17.953768115942033,20.756811594202894,2.536231884057971
2020-03-01,1829.0,58.0,12459.0,86310.0,2972.0,145181.0,17.209710144927545,21.414927536231882,18.325362318840586,21.327681159420287,1.8115942028985508
2020-03-02,2083.0,66.0,14892.0,88393.0,3038.0,162064.0,17.704428571428576,21.993714285714287,18.686142857142862,21.758714285714277,1.7857142857142858
2020-03-03,1849.0,72.0,21492.0,90242.0,3110.0,194140.0,17.5986301369863,21.872739726027394,18.62931506849316,21.70493150684931,1.7123287671232876
2020-03-04,2301.0,84.0,27424.0,92540.0,3194.0,268711.0,17.80552631578947,22.15921052631579,18.754342105263166,21.86486842105262,1.644736842105263
2020-03-05,2331.0,80.0,19099.0,94869.0,3274.0,293972.0,19.19447368421052,23.851052631578945,20.01973684210527,23.359868421052624,1.644736842105263
2020-03-06,3053.0,102.0,38833.0,97923.0,3376.0,332932.0,20.250123456790117,25.247901234567895,21.252962962962965,24.61148148148148,2.7777777777777777
2020-03-07,4079.0,104.0,26683.0,101995.0,3480.0,371321.0,20.085783132530118,25.155903614457827,21.20421686746988,24.648433734939758,2.2590361445783134
2020-03-08,3997.0,97.0,18141.0,105991.0,3577.0,514178.0,20.695476190476185,25.933452380952374,21.75297619047619,25.247738095238088,2.5297619047619047
2020-03-09,4150.0,228.0,23323.0,110129.0,3805.0,540634.0,20.817272727272726,26.202272727272717,22.076022727272722,25.52034090909091,3.125
2020-03-10,4758.0,206.0,28426.0,114880.0,4011.0,576647.0,24.3385393258427,30.45539325842696,24.71595505617977,28.44280898876405,4.213483146067416
2020-03-11,5086.0,273.0,33086.0,119984.0,4284.0,613377.0,26.13901098901099,32.56483516483515,26.219010989010986,30.21131868131868,4.258241758241758
2020-03-12,7788.0,325.0,32162.0,127781.0,4609.0,665062.0,30.09237623762376,37.18574257425743,28.906534653465336,33.21762376237625,5.198019801980198
2020-03-13,9486.0,348.0,31080.0,137255.0,4957.0,723185.0,34.793883495145636,41.925533980582536,32.19155339805823,37.029805825242725,5.58252427184466
2020-03-14,10377.0,442.0,51447.0,147636.0,5398.0,793343.0,37.57466666666668,45.016190476190445,34.261238095238085,39.30047619047618,6.5476190476190474
2020-03-15,12191.0,367.0,45344.0,159823.0,5765.0,985612.0,38.98735042735043,46.469401709401716,35.543846153846154,40.58871794871794,7.799145299145299
2020-03-16,12415.0,748.0,57830.0,172246.0,6514.0,1082353.0,47.29925619834713,55.92876033057851,41.86793388429754,47.52661157024792,10.537190082644628
2020-03-17,14127.0,604.0,92068.0,186374.0,7118.0,1183291.0,49.97488188976378,58.36740157480315,44.1876377952756,49.75236220472442,13.582677165354331
2020-03-18,16893.0,810.0,103409.0,203271.0,7928.0,1361423.0,54.08798449612401,62.02333333333334,47.43341085271318,53.16829457364343,15.891472868217054
2020-03-19,20001.0,955.0,130354.0,223274.0,8883.0,1525791.0,57.16588235294115,64.9758088235294,49.78080882352941,55.673455882353,17.371323529411764
2020-03-20,30961.0,1074.0,166460.0,254235.0,9957.0,1702655.0,59.43920863309349,67.1535251798561,51.52683453237412,57.49410071942451,18.705035971223023
2020-03-21,31710.0,1384.0,152489.0,285946.0,11341.0,1865414.0,61.63482758620685,69.15427586206897,53.028551724137934,59.174344827586246,19.224137931034484
2020-03-22,34138.0,1711.0,117870.0,320084.0,13052.0,2501631.0,62.27959731543619,69.48208053691273,53.596644295301985,59.74167785234902,19.798657718120804
2020-03-23,34210.0,1686.0,179016.0,354294.0,14738.0,2686734.0,65.57231788079469,72.3274834437086,56.00052980132452,62.509867549668876,20.198675496688743
2020-03-24,44097.0,1853.0,198317.0,398391.0,16591.0,2894109.0,67.89763157894735,74.60710526315789,57.85250000000002,64.45381578947368,21.54605263157895
2020-03-25,42188.0,2304.0,216001.0,440579.0,18895.0,3112406.0,69.25863636363637,75.87551948051949,59.0322077922078,65.58941558441556,22.97077922077922
2020-03-26,53469.0,2643.0,244597.0,494048.0,21538.0,3371426.0,70.76509677419357,77.51806451612904,60.34722580645161,66.95038709677418,24.032258064516128
2020-03-27,60780.0,2798.0,275382.0,554828.0,24336.0,3653582.0,73.03522580645162,79.71477419354841,62.2,68.87593548387096,25.483870967741936
2020-03-28,64801.0,3491.0,237433.0,619629.0,27827.0,3911064.0,74.72743589743591,81.3069871794872,63.50269230769232,70.27012820512819,26.28205128205128
2020-03-29,62672.0,3584.0,279607.0,682301.0,31411.0,4647498.0,75.41602564102564,81.82884615384613,64.05333333333336,70.83339743589744,26.762820512820515
2020-03-30,57184.0,3215.0,226889.0,739485.0,34626.0,4897434.0,77.51115384615382,83.3933333333333,65.90256410256413,72.71301282051282,28.44551282051282
2020-03-31,64186.0,3981.0,256879.0,803671.0,38607.0,5314183.0,78.03197452229297,83.80248407643312,66.82605095541403,73.30178343949044,31.21019108280255
2020-04-01,74391.0,4667.0,410005.0,878062.0,43274.0,5880784.0,78.16855345911945,83.8789937106918,67.72308176100628,73.50415094339623,35.92767295597484
2020-04-02,77189.0,5003.0,424650.0,955251.0,48277.0,6310045.0,78.36647798742133,84.05119496855345,67.99729559748428,73.68515723270441,36.71383647798742
2020-04-03,77153.0,4997.0,440357.0,1032404.0,53274.0,6778892.0,78.64337499999996,84.17312499999997,68.40356249999999,73.93712500000001,37.96875
2020-04-04,81441.0,6768.0,392359.0,1113845.0,60042.0,7228094.0,78.92106249999996,84.48568749999995,68.64393749999999,74.16443750000002,38.28125
2020-04-05,85227.0,6299.0,410253.0,1199072.0,66341.0,8369394.0,79.22193749999995,84.67168749999995,68.89237499999999,74.4295625,38.4375
2020-04-06,66127.0,4748.0,370436.0,1265199.0,71089.0,8777365.0,79.50556249999997,84.83531249999994,69.27712499999997,74.81306250000002,38.828125
2020-04-07,72653.0,5328.0,530088.0,1337852.0,76417.0,9444887.0,79.70524999999995,85.00337499999995,69.65568749999997,75.11850000000001,39.609375
2020-04-08,76701.0,7565.0,698082.0,1414553.0,83982.0,10197050.0,80.16818749999997,85.37531249999995,70.24049999999997,75.63937500000003,40.546875
2020-04-09,84813.0,6529.0,543168.0,1499366.0,90511.0,10779148.0,80.40543749999998,85.68056249999997,70.84531249999998,75.985,42.578125
2020-04-10,87026.0,7442.0,576912.0,1586392.0,97953.0,11361244.0,80.42347826086956,85.60683229813661,70.96273291925463,76.0023602484472,43.245341614906835
2020-04-11,89500.0,7004.0,562285.0,1675892.0,104957.0,11990806.0,80.50987577639752,85.79919254658381,71.10608695652172,76.12937888198758,43.47826086956522
2020-04-12,75120.0,6046.0,450616.0,1751012.0,111003.0,12877207.0,80.66515527950311,85.91012422360247,71.23745341614905,76.25645962732919,43.63354037267081
2020-04-13,68205.0,5336.0,426545.0,1819217.0,116339.0,14252234.0,80.96428571428571,86.21627329192545,71.58776397515526,76.55757763975154,44.254658385093165
2020-04-14,64624.0,5395.0,523616.0,1883841.0,121734.0,14835963.0,80.86645962732919,86.18658385093165,71.59180124223599,76.5622360248447,44.254658385093165
2020-04-15,76251.0,7600.0,584929.0,1960092.0,129334.0,15424916.0,80.88950310559008,86.12006211180123,71.77496894409934,76.58111801242235,45.3416149068323
2020-04-16,77952.0,10460.0,605400.0,2038044.0,139794.0,16039585.0,80.98447204968946,86.1570807453416,71.97211180124222,76.71515527950308,45.88509316770186
2020-04-17,83612.0,8516.0,624047.0,2121656.0,148310.0,16684117.0,81.02478260869566,86.20875776397514,72.08335403726707,76.80453416149066,46.11801242236025
2020-04-18,81512.0,8481.0,602140.0,2203168.0,156791.0,17347055.0,81.03633540372672,86.26055900621117,72.17894409937887,76.86080745341614,46.42857142857143
2020-04-19,79497.0,6364.0,509559.0,2282665.0,163155.0,19227194.0,80.96149068322983,86.2014906832298,72.16695652173911,76.84670807453416,46.42857142857143
2020-04-20,70522.0,4977.0,535304.0,2353187.0,168132.0,19916890.0,80.29440993788822,85.72080745341614,71.84465838509314,76.39503105590062,46.816770186335404
2020-04-21,73497.0,5441.0,638164.0,2426684.0,173573.0,20600776.0,80.1276397515528,85.58037267080746,71.88832298136641,76.27739130434783,47.74844720496895
2020-04-22,86257.0,7258.0,727507.0,2512941.0,180831.0,21392808.0,80.03857142857144,85.57304347826089,71.82664596273288,76.20447204968943,47.74844720496895
2020-04-23,66179.0,5908.0,806266.0,2579120.0,186739.0,22360922.0,79.96378881987579,85.52863354037268,71.77490683229809,76.14335403726707,47.74844720496895
2020-04-24,78221.0,7319.0,917207.0,2657341.0,194058.0,23277996.0,79.92062111801243,85.55086956521741,71.88440993788818,76.14565217391304,48.4472049689441
2020-04-25,72452.0,5348.0,795758.0,2729793.0,199406.0,24175654.0,79.88608695652174,85.5064596273292,71.8604968944099,76.11745341614908,48.4472049689441
2020-04-26,99908.0,6173.0,726067.0,2829701.0,205579.0,25321083.0,79.8803105590062,85.50360248447207,71.85639751552792,76.11273291925465,48.4472049689441
2020-04-27,81556.0,3901.0,744144.0,2911257.0,209480.0,26111137.0,79.63844720496895,85.23739130434785,71.7449068322981,75.95285714285716,48.60248447204969
2020-04-28,65428.0,4892.0,870133.0,2976685.0,214372.0,27264069.0,79.69018633540374,85.29652173913045,71.88031055900618,76.0139751552795,49.14596273291925
2020-04-29,71831.0,6545.0,1026317.0,3048516.0,220917.0,28376787.0,79.63260869565218,85.2521739130435,71.92018633540368,76.06111801242236,49.14596273291925
2020-04-30,78498.0,6555.0,1123318.0,3127014.0,227472.0,29984315.0,79.42123456790124,85.04191358024691,71.96679012345678,75.96104938271604,50.0
2020-05-01,85037.0,5644.0,1124573.0,3212051.0,233116.0,30976519.0,79.12407407407404,84.77734567901234,71.82024691358023,75.7738888888889,50.07716049382716
2020-05-02,88499.0,5571.0,918873.0,3300550.0,238687.0,31952847.0,79.19259259259255,84.82141975308643,71.86777777777776,75.83006172839507,50.07716049382716
2020-05-03,80681.0,4807.0,818062.0,3381231.0,243494.0,33249069.0,79.16691358024688,84.76253086419753,71.8499382716049,75.80901234567902,50.07716049382716
2020-05-04,76999.0,3695.0,906487.0,3458230.0,247189.0,34201051.0,77.8949382716049,83.59697530864197,71.00913580246907,74.84351851851852,49.92283950617284
2020-05-05,75880.0,3969.0,1101376.0,3534110.0,251158.0,35304363.0,77.69499999999996,83.3662962962963,70.95370370370365,74.70777777777778,50.30864197530864
2020-05-06,78097.0,5963.0,1058848.0,3612207.0,257121.0,36759343.0,77.4149382716049,83.18993827160496,70.71240740740735,74.47864197530865,50.0
