,date_updated_30,iso_code,location,total_cases_30,total_cases_30_pred
21869,2020-08-31,ABW,Aruba,1997.0,6577.96533203125
21869,2020-08-31,ABW,Aruba,1997.0,6577.96533203125
27214,2020-08-31,AFG,Afghanistan,38162.0,37563.8671875
21346,2020-08-31,AGO,Angola,2624.0,5659.27001953125
22837,2020-08-31,ALB,Albania,9380.0,3928.805419921875
27214,2020-08-31,ARE,United Arab Emirates,69690.0,63414.3125
24692,2020-08-31,ARG,Argentina,401226.0,359516.5
27214,2020-08-31,AUS,Australia,25670.0,31254.767578125
27214,2020-08-31,AUT,Austria,27218.0,32442.884765625
27214,2020-08-31,AZE,Azerbaijan,36309.0,36066.9765625
19805,2020-08-31,BDI,Burundi,445.0,3160.098388671875
27214,2020-08-31,BEL,Belgium,84948.0,53512.50390625
22022,2020-08-31,BEN,Benin,2145.0,5914.27392578125
22452,2020-08-31,BFA,Burkina Faso,1368.0,-6833.29248046875
23237,2020-08-31,BGD,Bangladesh,310822.0,324438.28125
22741,2020-08-31,BGR,Bulgaria,16190.0,17149.4609375
27214,2020-08-31,BHR,Bahrain,51574.0,62451.10546875
22650,2020-08-31,BIH,Bosnia and Herzegovina,19789.0,17117.0703125
27214,2020-08-31,BLR,Belarus,71687.0,79867.703125
21046,2020-08-31,BLZ,Belize,994.0,83.35226440429688
22569,2020-08-31,BOL,Bolivia,115968.0,132094.71875
27214,2020-08-31,BRA,Brazil,3862311.0,3937684.5
21895,2020-08-31,BRB,Barbados,173.0,-1474.264892578125
22658,2020-08-31,BRN,Brunei,144.0,-6009.93310546875
22650,2020-08-31,BTN,Bhutan,224.0,504.4421081542969
19805,2020-08-31,BWA,Botswana,1633.0,6294.48095703125
22143,2020-08-31,CAF,Central African Republic,4700.0,7039.30517578125
27214,2020-08-31,CAN,Canada,127940.0,145168.140625
27214,2020-08-31,CHE,Switzerland,41906.0,48794.63671875
23153,2020-08-31,CHL,Chile,409974.0,495395.625
27214,2020-08-31,CHN,China,89895.0,98779.2265625
22361,2020-08-31,CIV,Cote d'Ivoire,17948.0,22481.87109375
22639,2020-08-31,CMR,Cameroon,19142.0,20136.98046875
22456,2020-08-31,COD,Democratic Republic of Congo,10044.0,19439.1484375
22143,2020-08-31,COG,Congo,3979.0,7537.00048828125
23161,2020-08-31,COL,Colombia,607938.0,598369.9375
21491,2020-08-31,CPV,Cape Verde,3852.0,3884.903076171875
22920,2020-08-31,CRI,Costa Rica,39699.0,27366.146484375
22218,2020-08-31,CUB,Cuba,3973.0,3869.074951171875
22555,2020-08-31,CYP,Cyprus,1487.0,1701.973388671875
27214,2020-08-31,CZE,Czech Republic,24367.0,26501.982421875
27214,2020-08-31,DEU,Germany,242381.0,191729.890625
21766,2020-08-31,DJI,Djibouti,5385.0,8603.2470703125
27214,2020-08-31,DNK,Denmark,16700.0,20154.9921875
27214,2020-08-31,DOM,Dominican Republic,94241.0,78036.5859375
27214,2020-08-31,DZA,Algeria,44146.0,80957.453125
27214,2020-08-31,ECU,Ecuador,113648.0,80615.4765625
27214,2020-08-31,EGY,Egypt,98727.0,100419.75
21346,2020-08-31,ERI,Eritrea,318.0,-743.7141723632812
27214,2020-08-31,ESP,Spain,,435508.28125
27214,2020-08-31,EST,Estonia,2373.0,2233.754638671875
22365,2020-08-31,ETH,Ethiopia,51122.0,34170.75
27214,2020-08-31,FIN,Finland,8077.0,11005.5400390625
25445,2020-08-31,FJI,Fiji,28.0,-2506.862548828125
27214,2020-08-31,FRA,France,277943.0,231547.890625
22363,2020-08-31,GAB,Gabon,8505.0,11676.7978515625
27214,2020-08-31,GBR,United Kingdom,334467.0,336684.09375
27214,2020-08-31,GEO,Georgia,1487.0,5047.36767578125
22363,2020-08-31,GHA,Ghana,44205.0,52830.78515625
22244,2020-08-31,GIN,Guinea,9371.0,14505.3212890625
21895,2020-08-31,GMB,Gambia,2963.0,-9476.5576171875
27214,2020-08-31,GRC,Greece,10134.0,-2658.897705078125
22260,2020-08-31,GTM,Guatemala,73912.0,76451.1875
21766,2020-08-31,GUM,Guam,1347.0,2401.778076171875
22246,2020-08-31,GUY,Guyana,1234.0,-516.1672973632812
943,2020-08-31,HKG,Hong Kong,,-5063.99169921875
22349,2020-08-31,HND,Honduras,60174.0,78721.53125
27214,2020-08-31,HRV,Croatia,10123.0,13032.0595703125
21630,2020-08-31,HTI,Haiti,8209.0,7151.55126953125
23237,2020-08-31,HUN,Hungary,5961.0,7232.00048828125
27214,2020-08-31,IDN,Indonesia,172053.0,158284.171875
27214,2020-08-31,IND,India,3621245.0,3684503.5
27214,2020-08-31,IRL,Ireland,28760.0,37231.74609375
27214,2020-08-31,IRN,Iran,373570.0,415199.71875
27214,2020-08-31,IRQ,Iraq,231177.0,223720.328125
27214,2020-08-31,ISL,Iceland,2105.0,-3672.225830078125
27214,2020-08-31,ISR,Israel,114020.0,105956.2421875
27214,2020-08-31,ITA,Italy,268218.0,264395.25
22452,2020-08-31,JAM,Jamaica,2357.0,-2845.460205078125
22994,2020-08-31,JOR,Jordan,1966.0,-3428.432861328125
27214,2020-08-31,JPN,Japan,67865.0,49454.12890625
22468,2020-08-31,KAZ,Kazakhstan,130673.0,187720.296875
23085,2020-08-31,KEN,Kenya,34057.0,28682.0390625
21766,2020-08-31,KGZ,Kyrgyzstan,43898.0,76341.6640625
27214,2020-08-31,KHM,Cambodia,274.0,209.64523315429688
27214,2020-08-31,KOR,South Korea,19947.0,19576.41015625
27214,2020-08-31,KWT,Kuwait,84636.0,75602.3125
20894,2020-08-31,LAO,Laos,22.0,-2318.264892578125
27214,2020-08-31,LBN,Lebanon,16870.0,11533.2822265625
22022,2020-08-31,LBR,Liberia,1304.0,6239.57080078125
20894,2020-08-31,LBY,Libya,13423.0,10796.1103515625
27214,2020-08-31,LKA,Sri Lanka,3012.0,15896.8955078125
12717,2020-08-31,LSO,Lesotho,1066.0,3702.996826171875
27214,2020-08-31,LTU,Lithuania,2874.0,-1998.546142578125
27214,2020-08-31,LUX,Luxembourg,6625.0,8929.6923828125
23518,2020-08-31,LVA,Latvia,1393.0,4009.281982421875
24948,2020-08-31,MAR,Morocco,61399.0,56399.65234375
22744,2020-08-31,MDA,Moldova,36700.0,26282.830078125
21491,2020-08-31,MDG,Madagascar,14843.0,28927.134765625
27214,2020-08-31,MEX,Mexico,595841.0,581393.5625
20740,2020-08-31,MLI,Mali,2773.0,1699.102294921875
21324,2020-08-31,MMR,Myanmar,787.0,11891.0322265625
22349,2020-08-31,MNG,Mongolia,301.0,-3651.315673828125
21197,2020-08-31,MOZ,Mozambique,3821.0,1907.028076171875
22260,2020-08-31,MRT,Mauritania,7022.0,5438.02392578125
21630,2020-08-31,MUS,Mauritius,346.0,-3220.389892578125
19487,2020-08-31,MWI,Malawi,5536.0,6512.16455078125
27214,2020-08-31,MYS,Malaysia,9334.0,9274.5244140625
22260,2020-08-31,NAM,Namibia,7365.0,5133.04736328125
21491,2020-08-31,NER,Niger,1176.0,-2026.038330078125
27214,2020-08-31,NGA,Nigeria,53865.0,44898.32421875
21766,2020-08-31,NIC,Nicaragua,4494.0,3705.957763671875
27214,2020-08-31,NLD,Netherlands,70071.0,57618.44921875
27214,2020-08-31,NOR,Norway,10543.0,16121.4658203125
27214,2020-08-31,NPL,Nepal,38561.0,17634.71484375
27214,2020-08-31,NZL,New Zealand,1387.0,489.8796081542969
27214,2020-08-31,OMN,Oman,85544.0,86129.9140625
27214,2020-08-31,PAK,Pakistan,295849.0,331917.40625
22837,2020-08-31,PAN,Panama,92065.0,77783.578125
23585,2020-08-31,PER,Peru,647166.0,672266.8125
27214,2020-08-31,PHL,Philippines,217396.0,210201.34375
21491,2020-08-31,PNG,Papua New Guinea,459.0,-1272.999267578125
23080,2020-08-31,POL,Poland,66870.0,60153.7578125
20430,2020-08-31,PRI,Puerto Rico,32848.0,20150.5078125
23449,2020-08-31,PRT,Portugal,57768.0,42857.8046875
23004,2020-08-31,PRY,Paraguay,17195.0,15402.4853515625
22997,2020-08-31,PSE,Palestine,29063.0,28855.40234375
27214,2020-08-31,QAT,Qatar,118575.0,136071.5625
27214,2020-08-31,ROU,Romania,86785.0,76545.3046875
27214,2020-08-31,RUS,Russia,990326.0,1012627.375
22260,2020-08-31,RWA,Rwanda,4020.0,8484.7236328125
23075,2020-08-31,SAU,Saudi Arabia,314821.0,340783.46875
22365,2020-08-31,SDN,Sudan,13189.0,26948.298828125
23380,2020-08-31,SEN,Senegal,13556.0,9702.6259765625
27214,2020-08-31,SGP,Singapore,56771.0,52549.25390625
19805,2020-08-31,SLE,Sierra Leone,2022.0,430.1491394042969
21766,2020-08-31,SLV,El Salvador,25729.0,42787.12890625
22022,2020-08-31,SOM,Somalia,3310.0,4490.75439453125
23717,2020-08-31,SRB,Serbia,31365.0,39727.58984375
21608,2020-08-31,SUR,Suriname,4009.0,4250.50048828125
22915,2020-08-31,SVK,Slovakia,3876.0,4181.23095703125
23072,2020-08-31,SVN,Slovenia,2865.0,-2382.093017578125
27214,2020-08-31,SWE,Sweden,83958.0,77976.4140625
22260,2020-08-31,SWZ,Swaziland,4561.0,5711.25439453125
22260,2020-08-31,SYC,Seychelles,136.0,-2451.229736328125
21630,2020-08-31,TCD,Chad,1012.0,6005.43798828125
23237,2020-08-31,TGO,Togo,1396.0,3834.824951171875
27214,2020-08-31,THA,Thailand,3412.0,13279.5830078125
14985,2020-08-31,TJK,Tajikistan,8550.0,11517.7861328125
21346,2020-08-31,TLS,Timor,27.0,1547.610107421875
22468,2020-08-31,TTO,Trinidad and Tobago,1683.0,-3623.780517578125
22910,2020-08-31,TUN,Tunisia,3685.0,3300.567138671875
22347,2020-08-31,TUR,Turkey,268546.0,280543.8125
22022,2020-08-31,TZA,Tanzania,509.0,8225.9306640625
21346,2020-08-31,UGA,Uganda,2928.0,5719.84033203125
22825,2020-08-31,UKR,Ukraine,119074.0,80714.8359375
22260,2020-08-31,URY,Uruguay,1585.0,6264.93017578125
27214,2020-08-31,USA,United States,5997163.0,6142122.5
22143,2020-08-31,UZB,Uzbekistan,41651.0,38070.421875
22260,2020-08-31,VEN,Venezuela,45868.0,47818.69140625
27214,2020-08-31,VNM,Vietnam,1040.0,19109.2109375
18367,2020-08-31,YEM,Yemen,1953.0,3936.512451171875
24948,2020-08-31,ZAF,South Africa,625056.0,679881.625
21766,2020-08-31,ZMB,Zambia,12025.0,7402.12158203125
21491,2020-08-31,ZWE,Zimbabwe,6412.0,8223.7978515625
